what,kind,bundleId,bundleVersion,description,time
started,bundle,com.altera.systemconsole,9.1.0.222,com.altera.systemconsole,1273892019140
started,bundle,org.eclipse.jsch.core,1.1.100.I20080604,org.eclipse.jsch.core,1273892019828
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20080827,org.eclipse.team.cvs.core,1273892019828
started,bundle,org.eclipse.team.ui,3.4.1.r34x_20080827,org.eclipse.team.ui,1273892019953
started,bundle,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console,1273892020078
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1273892020406
started,bundle,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch,1273892022218
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273892023953
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273892025984
started,bundle,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.resources,1273892027687
opened,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1273892027906
opened,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1273892027984
opened,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1273892028562
activated,perspective,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.CPerspective,1273892028593
started,bundle,org.eclipse.cdt.debug.core,5.0.1.200809120802,org.eclipse.cdt.debug.core,1273892031015
started,bundle,org.eclipse.cdt.debug.ui,5.0.1.200809120802,org.eclipse.cdt.debug.ui,1273892031046
started,bundle,org.eclipse.cdt.launch,5.0.1.200809120802,org.eclipse.cdt.launch,1273892036812
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273892044687
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273892045171
started,bundle,org.eclipse.cdt.debug.mi.ui,5.0.1.200809120802,org.eclipse.cdt.debug.mi.ui,1273892045437
started,bundle,org.eclipse.cdt.debug.mi.core,5.0.1.200809120802,org.eclipse.cdt.debug.mi.core,1273892045484
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273892056562
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273892181171
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273892238734
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1273892298468
